sentence,explicitness
"For some moments after he had materialized, and had become perceivable by human senses, the Sylan waited.", 1
"This boy, as yet, was so unhappily engrossed in literary composition as not to have noticed his ghostly visitant.", 1
"Most demons were obsessed by the notion of buying from you a soul which Gerald, in this age of reason, had no sure proof that he possessed.", 3
"Candor is no more palatable than an oyster when either is out of season.", 1
"And my relatives are all cursed with a very disastrous candor.", 1
"They conceal from me nothing save that respect and envy with which they might, appropriately, regard my accomplishments and nobler qualities.", 3
"The first person, Gerald, that pretended to speak for the real good of anybody else was a serpent in a Garden, and ever since then that sort of talking has been venomous.", 1
"You allude, I imagine,” said the Sylan, “to the love of a good woman?", 3
"That is it, that is precisely the unmerited and too irremovable blessing which may end, after all, in reducing me to your suggested vulgar fraction of a suicide.", 1
"He meditatively placed together the tips of his two little fingers, and then one by one the tips of his other fingers, until his thumbs also were in contact.", 1
"And Evelyn, sir, in this matter of continuing her immoral relations with me has behaved badly, very badly indeed—", 3
"Repentance when suitably timed in a liaison makes for everybody’s happiness.", 3
"But some women, sir, some women stay more affectionately adhesive than an anaconda.", 1
"I also in my time have heard that observation without any active enjoyment.", 3
"It is, I believe, unanswerable.", 1
"Oh, I assure you, my dear fellow, there is no more sensible piece of friendly counsel existent than is the Seventh Commandment!", 1
"For I perceive you are now about to wheedle me forward in this business by throwing obstacles in my way.", 1
"Yes, to be sure! Women do vary in their given names.", 3
"I note that I falter in the little art of letters, that my prose is no longer superb and breath-taking in its loveliness, because my heart is not any longer really interested in writing.", 1
"And from whom else—just as you have suggested, my dear fellow,—from whom else save the Master Philologist can I get the great and best words of magic?", 1
"Yet the Master Philologist is nowadays a married man, and is ruled in everything by his wife.", 1
"Mirrors are employed in many branches of magic.", 3
"For one, I would not meddle with that mirror.", 1
"When a citizen of the United States of America takes up the pursuit of an art, sir, he does not shilly-shally about it.", 1
"Meanwhile, I admit, the life of a Sylan has no fret in it, a Sylan has nothing to be afraid of: and there is in me a mortal taint which cannot endure interminable contentment any longer.", 1
"But that, my dear fellow, would leave me without any carnal residence.", 1
"Why, Gerald, but I am surprised at such scepticism in you who pay your pew-rent so regularly!", 3
"So, let us get on!", 1
"I will take over all your body’s imbroglios, even with your mistress,—who can hardly be more tasking to get along with than are the seven official wives and the three hundred and fifty-odd concubines I am getting rid of.", 3
"You,” Gerald said, morosely, “do not know Evelyn Townsend.", 3
"I trust,” the Sylan stated, more gallantly, “to have that privilege to-morrow.", 3
"Instead, in Gerald Musgrave’s library, stood face to face two Geralds, each in a blue coat and a golden yellow waistcoat...", 1
"Oh, but, my poor Gerald, was he indeed!", 3
"My progenitor, in any event, carried through his imposture.", 1
"He died very well thought of by his neighbors.", 3
"That you will find to be a leading consideration with any citizen of the United States of America.", 1
"In American literature of a respectable cast no human being has any excretory functions.", 3
"And I think that a gentleman should exercise these three, in just this order, when he is handling the paternity or the looks or the legs of any lady.", 1
"Why, your picture will be in the newspapers, and learned professors will annotate your fornications, and oncoming ages will become familiar with every mean act you ever committed!", 3
"The compulsion is upon me to excel in my art; and to do this I must liberate the great and best words of the Master Philologist.", 1
"To regard this Gerald Musgrave, now, was like looking at a droll acquaintance in whom Gerald was not, after all, very deeply interested.", 1
"The amenities of fellow artists,” returned Horvendile, “are by ordinary two-edged.", 1
"Meanwhile you have brought me this huge shining horse, which cannot be other than Pegasus—", 1
"Whether or not this divine steed be that Pegasus which bears romantics even to the ultimate goal of their dreams, depends upon the horseman.", 1
"Prophecies,” said Gerald, then, “ought to be respected by all well brought up persons.", 3
"Oh, but now I comprehend you! The rider and the owner of any horse is, quite naturally, entitled to call the animal whatsoever he prefers.", 3
"Yes, Horvendile, upon mature deliberation, I will accept the throne of Antan, without considering my personal preferences and my dislike of publicity and ostentation...", 3
"It would not be going too far to say, indeed, that she hungers for your coming.", 1
"This place has not any name in the reputable speech of men.", 1
"Very dreadful is the name of Koleos Koleros!", 1
"Such myths do not perish speedily.", 1
"All is a seeming and an echo: and through this superficies men come to know the untruth which makes them free.", 1
"She is wrinkled and flabby in appearance, yet the most stout of heroes falls at last before her.", 1
"Yet I have read, moreover, that this modest and retired Koleos Koleros, alone of eternal beings, is ever ardent to quench the ardor of her servitors...", 3
"I mean that their religion, which ranks pleasure above all else, permits no man to pass by unpleased.", 3
"To be refined in one’s taste is eminently praiseworthy.", 3
"The surprising and mysterious joys which blaze up among these flute-players are, thus, very violent and delicious.", 1
"Gerald said then that kindness to dumb animals was generally reckoned a most estimable trait in the United States of America.", 3
"She is easily known, by her violet hair and her sharp teeth.", 1
"But, really now, my dear fellow! I have no talent whatever for music.", 3
"These flute-players are very ingenious.", 3
"Nothing will be lacking to you at this feast if you attend it with proper religious exaltation; and you will discover abilities there which will surprise you.", 3
"Sir,” Gerald now replied, with appropriate dignity, “I am, as were my fathers before me, a member of the Protestant Episcopal church.", 1
